51797567,"1,18%"
51820230,"1,19%"
52030381,"1,19%"
52080107,"1,19%"
52090987,"1,19%"
52154698,"1,20%"
52193032,"1,20%"
52223766,"1,20%"
52340196,"1,20%"
52420713,"1,21%"
52466272,"1,21%"
52479253,"1,21%"
52484030,"1,21%"
52531716,"1,22%"
52578923,"1,22%"
52610372,"1,22%"
52613770,"1,22%"
52614211,"1,23%"
52823705,"1,23%"
52825304,"1,23%"
52840164,"1,23%"
52894426,"1,24%"
53015332,"1,24%"
53135006,"1,24%"
53137356,"1,24%"
53182029,"1,25%"
53227670,"1,25%"
53257688,"1,25%"
53303908,"1,25%"
53379139,"1,26%"
53395766,"1,26%"
53529640,"1,26%"
53658528,"1,26%"
53750311,"1,27%"
53760713,"1,27%"
53771590,"1,27%"
53856486,"1,27%"
54157111,"1,28%"
54169346,"1,28%"
54198878,"1,28%"
54218336,"1,28%"
54324730,"1,29%"
54325703,"1,29%"
54332749,"1,29%"
54477046,"1,29%"
54501447,"1,30%"
54521156,"1,30%"
54540504,"1,30%"
54541641,"1,30%"
54561283,"1,31%"
54582686,"1,31%"
54752244,"1,31%"
54775984,"1,31%"
54862196,"1,32%"
54928122,"1,32%"
55042932,"1,32%"
55059498,"1,32%"
55118960,"1,33%"
55344874,"1,33%"
55471883,"1,33%"
55472561,"1,33%"
55583671,"1,34%"
55625990,"1,34%"
55711506,"1,34%"
55759264,"1,34%"
55792901,"1,35%"
55818149,"1,35%"
55819242,"1,35%"
55821585,"1,35%"
55856508,"1,36%"
55862025,"1,36%"
55923061,"1,36%"
55926186,"1,36%"
55946966,"1,37%"
56066228,"1,37%"
56071920,"1,37%"
56150005,"1,37%"
56245608,"1,38%"
56266356,"1,38%"
56335999,"1,38%"
56378218,"1,38%"
56423967,"1,39%"
56455824,"1,39%"
56458772,"1,39%"
56479499,"1,39%"
56499290,"1,40%"
56513205,"1,40%"
56533759,"1,40%"
56540721,"1,40%"
56551033,"1,41%"
56556898,"1,41%"
56701330,"1,41%"
56768937,"1,41%"
56771646,"1,42%"
56840193,"1,42%"
56937611,"1,42%"
56956718,"1,42%"
57072003,"1,43%"
57095978,"1,43%"
57119816,"1,43%"
57136033,"1,43%"
57136072,"1,44%"
57182889,"1,44%"
57198312,"1,44%"
57198814,"1,44%"
57201201,"1,45%"
57214941,"1,45%"
57269889,"1,45%"
57316991,"1,46%"
57354483,"1,46%"
57412588,"1,46%"
57414627,"1,46%"
57437144,"1,47%"
57522091,"1,47%"
57522397,"1,47%"
57522557,"1,47%"
57522843,"1,48%"
57523034,"1,48%"
57527300,"1,48%"
57619477,"1,48%"
57673630,"1,49%"
57677343,"1,49%"
57761938,"1,49%"
57777671,"1,49%"
57908406,"1,50%"
57940661,"1,50%"
57940732,"1,50%"
57959609,"1,50%"
58040404,"1,51%"
58092390,"1,51%"
58245294,"1,51%"
58286995,"1,51%"
58289855,"1,52%"
58295475,"1,52%"
58304307,"1,52%"
58311630,"1,52%"
58336293,"1,53%"
58393857,"1,53%"
58449634,"1,53%"
58469119,"1,53%"
58488873,"1,54%"
58588378,"1,54%"
58589168,"1,54%"
58627369,"1,54%"
58667875,"1,55%"
58716502,"1,55%"
58744141,"1,55%"
58906600,"1,55%"
59017105,"1,56%"
59037158,"1,56%"
59094014,"1,56%"
59157570,"1,56%"
59157825,"1,57%"
59205107,"1,57%"
59205119,"1,57%"
59242711,"1,57%"
59299346,"1,58%"
59318735,"1,58%"
59402181,"1,58%"
59490112,"1,58%"
59495214,"1,59%"
59534010,"1,59%"
59537053,"1,59%"
59537197,"1,59%"
59537355,"1,60%"
59537366,"1,60%"
59537537,"1,60%"
59537539,"1,60%"
59617266,"1,61%"
59635681,"1,61%"
59683386,"1,61%"
59684359,"1,61%"
59720498,"1,62%"
59746002,"1,62%"
59746055,"1,62%"
59841940,"1,62%"
59850418,"1,63%"
59935544,"1,63%"
59955279,"1,63%"
59983886,"1,63%"
59984057,"1,64%"
59984908,"1,64%"
60007546,"1,64%"
60060135,"1,64%"
60128072,"1,65%"
60150893,"1,65%"
60251353,"1,65%"
60269026,"1,65%"
60297856,"1,66%"
60310934,"1,66%"
60315198,"1,66%"
60316011,"1,66%"
60355846,"1,67%"
60458871,"1,67%"
60497919,"1,67%"
60506654,"1,67%"
60655866,"1,68%"
60718943,"1,68%"
60779686,"1,68%"
60794972,"1,68%"
60796402,"1,69%"
60797214,"1,69%"
60797238,"1,69%"
60797254,"1,69%"
60797270,"1,70%"
60846359,"1,70%"
60896581,"1,70%"
60911706,"1,70%"
60928114,"1,71%"
60940809,"1,71%"
60967714,"1,71%"
60970820,"1,71%"
60975040,"1,72%"
60979311,"1,72%"
61004031,"1,72%"
61004974,"1,72%"
61025405,"1,73%"
61035879,"1,73%"
61126011,"1,73%"
61149581,"1,73%"
61203559,"1,74%"
61214398,"1,74%"
61305919,"1,74%"
61311593,"1,74%"
61314214,"1,75%"
61323778,"1,75%"
61326455,"1,75%"
61410201,"1,75%"
61438119,"1,76%"
61461337,"1,76%"
61466212,"1,76%"
61467959,"1,76%"
61506176,"1,77%"
61509067,"1,77%"
61540053,"1,77%"
61565546,"1,77%"
61606518,"1,78%"
61606672,"1,78%"
61618531,"1,78%"
61618777,"1,78%"
61717781,"1,79%"
61734374,"1,79%"
61738357,"1,79%"
61758628,"1,79%"
61837817,"1,80%"
61840927,"1,80%"
61849491,"1,80%"
61861025,"1,80%"
61930305,"1,81%"
61972778,"1,81%"
